,PostId,PostCreationDate,OwnerUserId,OwnerCreationDate,ReputationAtPostCreation,OwnerUndeletedAnswerCountAtPostTime,Title,BodyMarkdown,Tag1,Tag2,Tag3,Tag4,Tag5,PostClosedDate,OpenStatus
73207,7625238,10/02/2011 08:07:56,829774,07/05/2011 13:27:46,25,0,timeouts in android,"I am experiencing way too many timeouts in the communication between my app and my server..  
My problem is that the server doesn't even get the message.. so i guess the problem is somewhere
inside my android code and not the server code.  
here is my code:  

    HttpParams params = new BasicHttpParams();
		SchemeRegistry registry = new SchemeRegistry();
		registry.register(new Scheme(""http"", PlainSocketFactory.getSocketFactory(), 80));
		ThreadSafeClientConnManager manager = new ThreadSafeClientConnManager(params, registry);
		
		//configure timeouts
		HttpConnectionParams.setConnectionTimeout(params, 1000 * 1000);
		HttpConnectionParams.setSoTimeout(params, 1000 * 1000);
		
		//and finally initialize the http client
		this.mClient = new DefaultHttpClient(manager,params);
		
		//init the response handler
		this.mResponseHandler = new MyResponseHandler(ctx);
  


		
		final HttpPost method = new HttpPost(HttpSender.SERVER_URL);
		
		List<NameValuePair> nameValuePairs = new ArrayList<NameValuePair>(2);
        nameValuePairs.add(new BasicNameValuePair(""message"", s));
        
        try {
			method.setEntity(new UrlEncodedFormEntity(nameValuePairs));
		} catch (UnsupportedEncodingException e1) {
			// TODO Auto-generated catch block
			e1.printStackTrace();
		}
        
		Runnable sender = new Runnable(){
			@Override
			public void run() {
				try {
					mClient.execute(method, mResponseHandler);
					
				} catch (ClientProtocolException e) {
					
					Log.v(TAG, ""unable to send "" + s);
					e.printStackTrace();
					
				} catch (IOException e) {
					
					Log.v(TAG, ""unable to send "" + s);
					e.printStackTrace();
					
				}
			}
		};
		
		new Thread(sender).start();


Is there something wrong with my code?
By the way it doesn't always timeout.. just about 2/3 of the time  
Thanks for your help!  
Omri",android,,,,,,open
9087,10716194,05/23/2012 08:28:28,1412058,05/23/2012 08:08:29,1,0,PHP Shorthand If/Else,"I want two things to happen when this is true. It's working fine, but i'm not sure is this good programming.

    $a =1;	
	($a == 1) ? (($b= 'val1') && ($c= 'val2')) : null;
	echo $b . '<br/>';
	echo $c;

I could simply write with if else but this way, it's smart. please help me...",php,shorthand,,,,05/23/2012 08:36:47,not a real question
58778,5150955,03/01/2011 05:45:15,482255,10/20/2010 20:37:12,44,0,Xcode Static Library Template... build doesn't contain headers?,"So I'm using the Static Library template included in Xcode. Right now just trying to build a simple template to see how static libraries really work.

Anyways in my static library I have two classes:
mylibrary (.h/.m) - This is simply an NSObject
modalView (.h/.m) - This is a UIViewController

The problem though is when I build the static library. The project builds the mylibrary.a file... however there is no ""Headers"" folder in the output. This means that when I add the library to my other project it gives ""undefined"" errors because it can't find the .h file for myLibrary.

Any ideas on how to fix this?
Thanks",iphone,xcode,static,application,,,open
94372,9825439,03/22/2012 15:29:10,973233,09/30/2011 14:04:39,119,17,Finish activity,"I have program with login,main activity and other activities.
First step is login activity(A). If login succeed start main activity(B) and call finish for (A).
working with (B) I'm calling some activities and then back to (B).
When decite to exit - I call logout and try to close (B) calling finish.
This logik works in 70% ot time :(
Unfortunately on 30% after calling finish for (B) - activity(A) appears on screen and start logging me.

Who is starting (B) again? I din't see relation between problem and program usage.",android,activity,,,,,open
31164,11201980,06/26/2012 06:43:45,1448795,06/11/2012 11:08:03,21,0,Look Up Form in mvc3,"I want to create a mvc razor form, from which an item is selected. The related properties of the item is to be shown in another form. Now when i choose a property from this form the property value is to be set in the first form. Can anyone help me to handle this problem.

For eg: The first form contains list of countries, when i select one country, the new form with city of related country must be loaded. Now when i select the city the city value should be return to the first form and the related street of the city must be loaded to the second form and so on..

Please help me to fix this problem.",razor,,,,,,open
96487,2577365,04/05/2010 07:33:27,140187,07/17/2009 14:02:19,477,18,"Where to maintain common information, that could be accessed by all forms","This is my first winform app in .NET... I have made a couple of ASP.NET app...

In this app, I have some common variables, like current user name, his selected process etc.. etc..  This should be made accessible from all forms in the app at any time...  How could I do this...  Is there any place like ""Session"" in ASP.NET here...

Further How do coders generally pass information from one form to another...  Here I want to pass on the info I acquired in the first form to the subsequent forms...  I use constructor overloading and pass the values as parameters... I'm pretty sure there has to be a better way to do it...

Thanks for your time...
",c#,.net,winforms,,,,open
22551,1315155,08/22/2009 04:42:18,54964,01/14/2009 11:38:17,1943,93,Making an index for a search by PHP,"**How can you remove efficiently** 

 1. unwanted characters from the variable `body`?      // **replacement solution**
 2. duplicate patterns in the body?            // **regex solution**

I am building a search which search the body of a question by making removing unnecessary words and then making an index of the words.


I would like to know how you can replace efficiently all dummy words in the body.
Otherwise, I need to use the hundreds of the followings replacements by PHP

    $body1 = str_replace ( "","", """", $body );
    $body2 = str_replace ( ""."", """", $body1);

This is clearly inefficient. Much more efficient would be to make a list of unwanted characters and then remove them.

**Unwanted characters or patters**

*characters*  

    \*;:,.!@#$&*(){}[]/?+=-_\|

*patterns*

  1. duplicate words that is no `\w[^\w]?\w` in pseudo code: **remove all matches after the first one**
  2. and, or, a, an, so, then, if, then, else
",search,php,regex,automata,,,open
39635,9237750,02/11/2012 04:11:44,945800,09/15/2011 01:07:52,10,0,How do I go about creating a custom search engine for my website?,"I am new to coding and am almost done with my first website. One of the last features I want to add is a custom search bar (meaning I would prefer to stay away from standard ones such as Google). Does anyone have any good tutorials out on how to make a search bar to index my site? 

Many thanks in advance. ",javascript,jquery,html,search,website,02/11/2012 04:35:04,not a real question
12787,3000881,06/08/2010 20:08:31,270531,02/10/2010 18:39:19,113,0,Excel worksheet error,"I am trying to create dynamic excel sheet, with the help of php using XML Spreadsheet.
But when I try to open the dynamically created excel sheet I keep on getting error that says 'Unable to load worksheet, problem with worksheet settings'. When I try to look at the log file it had created it shows the below text,

    XML ERROR in Worksheet Setting
    REASON:	Bad Value
    FILE:	C:\Documents and Settings\UserName\Local Settings\Temporary Internet Files\Content.IE5\5XZ039FS\output[3].xls
    GROUP:	Worksheet
    TAG:	Table
    ATTRIB:	ExpandedRowCount
    VALUE:	4

Can anybody tell what does the above error mean and how do I remove it?
",php,excel-2007,,,,,open
55104,432764,01/11/2009 11:18:59,53861,01/11/2009 11:18:59,1,0,Free streaming server for Voip server,"I need an open-source application which streams on demand (RTSP?) the prerecorded files. It should support all major codecs (G.711,g729...), and must be reasonably efficient.

Up until now Ive found only VLAN player suitable for this task. Any advice?",voip,media,audio-streaming,,,,open
